"","id","itemTime","trialnumber","kind","expression","access","observation","state","RT","value"
"15","A149ROBL26JWPJ:33FOTY3KENTQ4RO4IZ9RCBIMQ5LC1D",1480201993255,15,"c","might_be unlikely",6,2,NA,12799,62
"16","A149ROBL26JWPJ:33FOTY3KENTQ4RO4IZ9RCBIMQ5LC1D",1480201997646,16,"f","is_probably likely",NA,NA,6,4389,NA
"17","A149ROBL26JWPJ:33FOTY3KENTQ4RO4IZ9RCBIMQ5LC1D",1480202005036,17,"c","might_be possible",6,3,NA,7388,63
"18","A149ROBL26JWPJ:33FOTY3KENTQ4RO4IZ9RCBIMQ5LC1D",1480202008852,18,"f","might_be unlikely",NA,NA,3,3814,NA
"19","A149ROBL26JWPJ:33FOTY3KENTQ4RO4IZ9RCBIMQ5LC1D",1480202015682,19,"c","is_probably possible",8,4,NA,6829,84
"20","A149ROBL26JWPJ:33FOTY3KENTQ4RO4IZ9RCBIMQ5LC1D",1480202018652,20,"f","is_probably unlikely",NA,NA,3,2968,NA
"21","A149ROBL26JWPJ:33FOTY3KENTQ4RO4IZ9RCBIMQ5LC1D",1480202027892,21,"c","is_probably unlikely",8,2,NA,9238,82
"22","A149ROBL26JWPJ:33FOTY3KENTQ4RO4IZ9RCBIMQ5LC1D",1480202031292,22,"f","is_certainly possible",NA,NA,8,3398,NA
"23","A149ROBL26JWPJ:33FOTY3KENTQ4RO4IZ9RCBIMQ5LC1D",1480202040156,23,"c","is_certainly unlikely",8,2,NA,8862,82
"24","A149ROBL26JWPJ:33FOTY3KENTQ4RO4IZ9RCBIMQ5LC1D",1480202044620,24,"f","is_certainly likely",NA,NA,7,4462,NA
"25","A19TL7AJ0FB1JG:3JAOYWH7VJC1W0L5ZPHJU0QSIQN9LZ",1480194551408,1,"c","is likely",7,6,NA,13894,76
"26","A19TL7AJ0FB1JG:3JAOYWH7VJC1W0L5ZPHJU0QSIQN9LZ",1480194559055,2,"f","is_certainly unlikely",NA,NA,1,7645,NA
"27","A19TL7AJ0FB1JG:3JAOYWH7VJC1W0L5ZPHJU0QSIQN9LZ",1480194565623,3,"c","is possible",5,4,NA,6566,54
"28","A19TL7AJ0FB1JG:3JAOYWH7VJC1W0L5ZPHJU0QSIQN9LZ",1480194572424,4,"f","is unlikely",NA,NA,3,6799,NA
"29","A19TL7AJ0FB1JG:3JAOYWH7VJC1W0L5ZPHJU0QSIQN9LZ",1480194579255,5,"c","might_be likely",6,3,NA,6830,63
"30","A19TL7AJ0FB1JG:3JAOYWH7VJC1W0L5ZPHJU0QSIQN9LZ",1480194586412,6,"f","might_be unlikely",NA,NA,3,7154,NA
"31","A19TL7AJ0FB1JG:3JAOYWH7VJC1W0L5ZPHJU0QSIQN9LZ",1480194594755,7,"c","is_probably possible",2,1,NA,8342,21
"32","A19TL7AJ0FB1JG:3JAOYWH7VJC1W0L5ZPHJU0QSIQN9LZ",1480194600160,8,"f","might_be possible",NA,NA,3,5403,NA
"33","A19TL7AJ0FB1JG:3JAOYWH7VJC1W0L5ZPHJU0QSIQN9LZ",1480194607669,9,"c","is_certainly likely",5,5,NA,7508,55
"34","A19TL7AJ0FB1JG:3JAOYWH7VJC1W0L5ZPHJU0QSIQN9LZ",1480194614126,10,"f","is likely",NA,NA,7,6456,NA
"35","A19TL7AJ0FB1JG:3JAOYWH7VJC1W0L5ZPHJU0QSIQN9LZ",1480194620384,11,"c","might_be unlikely",3,1,NA,6256,31
"36","A19TL7AJ0FB1JG:3JAOYWH7VJC1W0L5ZPHJU0QSIQN9LZ",1480194627667,12,"f","is_certainly possible",NA,NA,5,7281,NA
"37","A19TL7AJ0FB1JG:3JAOYWH7VJC1W0L5ZPHJU0QSIQN9LZ",1480194636851,13,"c","is unlikely",7,2,NA,9183,72
"38","A19TL7AJ0FB1JG:3JAOYWH7VJC1W0L5ZPHJU0QSIQN9LZ",1480194646254,14,"f","is_probably likely",NA,NA,4,9402,NA
"39","A19TL7AJ0FB1JG:3JAOYWH7VJC1W0L5ZPHJU0QSIQN9LZ",1480194653211,15,"c","is_certainly possible",6,3,NA,6955,63
"40","A19TL7AJ0FB1JG:3JAOYWH7VJC1W0L5ZPHJU0QSIQN9LZ",1480194658772,16,"f","is_certainly likely",NA,NA,7,5560,NA
"41","A19TL7AJ0FB1JG:3JAOYWH7VJC1W0L5ZPHJU0QSIQN9LZ",1480194665120,17,"c","is_probably likely",6,6,NA,6347,66
"42","A19TL7AJ0FB1JG:3JAOYWH7VJC1W0L5ZPHJU0QSIQN9LZ",1480194669369,18,"f","might_be likely",NA,NA,3,4248,NA
"43","A19TL7AJ0FB1JG:3JAOYWH7VJC1W0L5ZPHJU0QSIQN9LZ",1480194675538,19,"c","might_be possible",5,4,NA,6167,54
"44","A19TL7AJ0FB1JG:3JAOYWH7VJC1W0L5ZPHJU0QSIQN9LZ",1480194678232,20,"f","is possible",NA,NA,5,2692,NA
"45","A19TL7AJ0FB1JG:3JAOYWH7VJC1W0L5ZPHJU0QSIQN9LZ",1480194687110,21,"c","is_certainly unlikely",8,0,NA,8876,80
"46","A19TL7AJ0FB1JG:3JAOYWH7VJC1W0L5ZPHJU0QSIQN9LZ",1480194692912,22,"f","is_probably unlikely",NA,NA,4,5801,NA
"47","A19TL7AJ0FB1JG:3JAOYWH7VJC1W0L5ZPHJU0QSIQN9LZ",1480194707285,23,"c","is_probably unlikely",7,3,NA,14372,73
"48","A19TL7AJ0FB1JG:3JAOYWH7VJC1W0L5ZPHJU0QSIQN9LZ",1480194712971,24,"f","is_probably possible",NA,NA,4,5684,NA
"49","A1RHFE4FQRHEQO:3ERET4BTVNHQCU3NEP5IF0DDTQIK97",1480194857730,1,"c","is_probably unlikely",6,5,NA,38015,65
"50","A1RHFE4FQRHEQO:3ERET4BTVNHQCU3NEP5IF0DDTQIK97",1480194880332,2,"f","is_probably unlikely",NA,NA,6,22600,NA
"51","A1RHFE4FQRHEQO:3ERET4BTVNHQCU3NEP5IF0DDTQIK97",1480194904262,3,"c","might_be likely",6,3,NA,23929,63
"52","A1RHFE4FQRHEQO:3ERET4BTVNHQCU3NEP5IF0DDTQIK97",1480194909279,4,"f","is possible",NA,NA,6,5016,NA
"53","A1RHFE4FQRHEQO:3ERET4BTVNHQCU3NEP5IF0DDTQIK97",1480194921904,5,"c","is_certainly possible",3,2,NA,12624,32
"54","A1RHFE4FQRHEQO:3ERET4BTVNHQCU3NEP5IF0DDTQIK97",1480194927504,6,"f","might_be unlikely",NA,NA,5,5599,NA
"55","A1RHFE4FQRHEQO:3ERET4BTVNHQCU3NEP5IF0DDTQIK97",1480194938585,7,"c","is likely",6,2,NA,11080,62
"56","A1RHFE4FQRHEQO:3ERET4BTVNHQCU3NEP5IF0DDTQIK97",1480194940898,8,"f","is likely",NA,NA,6,2312,NA
"57","A1RHFE4FQRHEQO:3ERET4BTVNHQCU3NEP5IF0DDTQIK97",1480194948770,9,"c","is_probably possible",4,2,NA,7871,42
"58","A1RHFE4FQRHEQO:3ERET4BTVNHQCU3NEP5IF0DDTQIK97",1480194951642,10,"f","is unlikely",NA,NA,6,2870,NA
"59","A1RHFE4FQRHEQO:3ERET4BTVNHQCU3NEP5IF0DDTQIK97",1480194968092,11,"c","is_certainly unlikely",6,5,NA,16449,65
"60","A1RHFE4FQRHEQO:3ERET4BTVNHQCU3NEP5IF0DDTQIK97",1480194970292,12,"f","is_probably possible",NA,NA,5,2199,NA
"61","A1RHFE4FQRHEQO:3ERET4BTVNHQCU3NEP5IF0DDTQIK97",1480194976541,13,"c","might_be unlikely",6,4,NA,6248,64
"62","A1RHFE4FQRHEQO:3ERET4BTVNHQCU3NEP5IF0DDTQIK97",1480194978541,14,"f","is_certainly unlikely",NA,NA,6,1999,NA
"63","A1RHFE4FQRHEQO:3ERET4BTVNHQCU3NEP5IF0DDTQIK97",1480194985654,15,"c","is_certainly likely",3,1,NA,7111,31
"64","A1RHFE4FQRHEQO:3ERET4BTVNHQCU3NEP5IF0DDTQIK97",1480194987517,16,"f","is_probably likely",NA,NA,5,1862,NA
"65","A1RHFE4FQRHEQO:3ERET4BTVNHQCU3NEP5IF0DDTQIK97",1480194993582,17,"c","is possible",3,1,NA,6063,31
"66","A1RHFE4FQRHEQO:3ERET4BTVNHQCU3NEP5IF0DDTQIK97",1480194995862,18,"f","might_be likely",NA,NA,5,2278,NA
"67","A1RHFE4FQRHEQO:3ERET4BTVNHQCU3NEP5IF0DDTQIK97",1480195001423,19,"c","might_be possible",6,3,NA,5560,63
"68","A1RHFE4FQRHEQO:3ERET4BTVNHQCU3NEP5IF0DDTQIK97",1480195005431,20,"f","is_certainly likely",NA,NA,6,4007,NA
"69","A1RHFE4FQRHEQO:3ERET4BTVNHQCU3NEP5IF0DDTQIK97",1480195017560,21,"c","is_probably likely",4,2,NA,12128,42
"70","A1RHFE4FQRHEQO:3ERET4BTVNHQCU3NEP5IF0DDTQIK97",1480195021633,22,"f","might_be possible",NA,NA,5,4071,NA
"71","A1RHFE4FQRHEQO:3ERET4BTVNHQCU3NEP5IF0DDTQIK97",1480195028337,23,"c","is unlikely",6,5,NA,6703,65
"72","A1RHFE4FQRHEQO:3ERET4BTVNHQCU3NEP5IF0DDTQIK97",1480195030090,24,"f","is_certainly possible",NA,NA,5,1752,NA
"73","A1YVMDRR9W1LZ1:3HQUKB7LNGMSPAKY6GQDFPV9KMMHHQ",1480203479942,1,"c","might_be possible",5,2,NA,28949,52
"74","A1YVMDRR9W1LZ1:3HQUKB7LNGMSPAKY6GQDFPV9KMMHHQ",1480203484452,2,"f","might_be possible",NA,NA,4,4509,NA
"75","A1YVMDRR9W1LZ1:3HQUKB7LNGMSPAKY6GQDFPV9KMMHHQ",1480203492850,3,"c","is_certainly likely",6,4,NA,8397,64
"76","A1YVMDRR9W1LZ1:3HQUKB7LNGMSPAKY6GQDFPV9KMMHHQ",1480203496271,4,"f","might_be likely",NA,NA,7,3419,NA
"77","A1YVMDRR9W1LZ1:3HQUKB7LNGMSPAKY6GQDFPV9KMMHHQ",1480203508165,5,"c","is_probably possible",5,3,NA,11893,53
"78","A1YVMDRR9W1LZ1:3HQUKB7LNGMSPAKY6GQDFPV9KMMHHQ",1480203511202,6,"f","is_certainly likely",NA,NA,5,3035,NA
"79","A1YVMDRR9W1LZ1:3HQUKB7LNGMSPAKY6GQDFPV9KMMHHQ",1480203523066,7,"c","is_certainly possible",7,5,NA,11863,75
"80","A1YVMDRR9W1LZ1:3HQUKB7LNGMSPAKY6GQDFPV9KMMHHQ",1480203526586,8,"f","might_be unlikely",NA,NA,7,3519,NA
"81","A1YVMDRR9W1LZ1:3HQUKB7LNGMSPAKY6GQDFPV9KMMHHQ",1480204934911,9,"c","is possible",6,3,NA,1408322,63
"82","A1YVMDRR9W1LZ1:3HQUKB7LNGMSPAKY6GQDFPV9KMMHHQ",1480204937395,10,"f","is_certainly possible",NA,NA,5,2478,NA
"83","A1YVMDRR9W1LZ1:3HQUKB7LNGMSPAKY6GQDFPV9KMMHHQ",1480204944489,11,"c","is_probably unlikely",5,2,NA,7092,52
"84","A1YVMDRR9W1LZ1:3HQUKB7LNGMSPAKY6GQDFPV9KMMHHQ",1480204947437,12,"f","is_probably unlikely",NA,NA,4,2947,NA
"85","A1YVMDRR9W1LZ1:3HQUKB7LNGMSPAKY6GQDFPV9KMMHHQ",1480204952883,13,"c","is unlikely",6,2,NA,5444,62
"86","A1YVMDRR9W1LZ1:3HQUKB7LNGMSPAKY6GQDFPV9KMMHHQ",1480204955917,14,"f","is unlikely",NA,NA,4,3033,NA
"87","A1YVMDRR9W1LZ1:3HQUKB7LNGMSPAKY6GQDFPV9KMMHHQ",1480204960998,15,"c","is_probably likely",5,3,NA,5080,53
"88","A1YVMDRR9W1LZ1:3HQUKB7LNGMSPAKY6GQDFPV9KMMHHQ",1480204962575,16,"f","is possible",NA,NA,6,1573,NA
"89","A1YVMDRR9W1LZ1:3HQUKB7LNGMSPAKY6GQDFPV9KMMHHQ",1480204968219,17,"c","might_be likely",4,2,NA,5640,42
"90","A1YVMDRR9W1LZ1:3HQUKB7LNGMSPAKY6GQDFPV9KMMHHQ",1480204971328,18,"f","is likely",NA,NA,5,3108,NA
"91","A1YVMDRR9W1LZ1:3HQUKB7LNGMSPAKY6GQDFPV9KMMHHQ",1480204980446,19,"c","might_be unlikely",7,3,NA,9115,73
"92","A1YVMDRR9W1LZ1:3HQUKB7LNGMSPAKY6GQDFPV9KMMHHQ",1480204983476,20,"f","is_probably likely",NA,NA,4,3028,NA
"93","A1YVMDRR9W1LZ1:3HQUKB7LNGMSPAKY6GQDFPV9KMMHHQ",1480204992356,21,"c","is_certainly unlikely",6,1,NA,8879,61
"94","A1YVMDRR9W1LZ1:3HQUKB7LNGMSPAKY6GQDFPV9KMMHHQ",1480204994129,22,"f","is_probably possible",NA,NA,3,1772,NA
"95","A1YVMDRR9W1LZ1:3HQUKB7LNGMSPAKY6GQDFPV9KMMHHQ",1480204998959,23,"c","is likely",6,4,NA,4827,64
"96","A1YVMDRR9W1LZ1:3HQUKB7LNGMSPAKY6GQDFPV9KMMHHQ",1480205001626,24,"f","is_certainly unlikely",NA,NA,7,2662,NA
"97","A2KG59JUICJLP0:3WYP994K18ZYEGQ6KX3X4Y1M14J6YD",1480234627108,1,"c","is possible",6,3,NA,15953,63
"98","A2KG59JUICJLP0:3WYP994K18ZYEGQ6KX3X4Y1M14J6YD",1480234645836,2,"f","is_certainly unlikely",NA,NA,5,18724,NA
"99","A2KG59JUICJLP0:3WYP994K18ZYEGQ6KX3X4Y1M14J6YD",1480234654550,3,"c","is likely",5,5,NA,8711,55
"100","A2KG59JUICJLP0:3WYP994K18ZYEGQ6KX3X4Y1M14J6YD",1480234662218,4,"f","might_be unlikely",NA,NA,5,7665,NA
"101","A2KG59JUICJLP0:3WYP994K18ZYEGQ6KX3X4Y1M14J6YD",1480234674765,5,"c","is unlikely",5,4,NA,12545,54
"102","A2KG59JUICJLP0:3WYP994K18ZYEGQ6KX3X4Y1M14J6YD",1480234680627,6,"f","is likely",NA,NA,5,5856,NA
"103","A2KG59JUICJLP0:3WYP994K18ZYEGQ6KX3X4Y1M14J6YD",1480234694646,7,"c","might_be likely",5,2,NA,14016,52
"104","A2KG59JUICJLP0:3WYP994K18ZYEGQ6KX3X4Y1M14J6YD",1480234697999,8,"f","is possible",NA,NA,5,3350,NA
"105","A2KG59JUICJLP0:3WYP994K18ZYEGQ6KX3X4Y1M14J6YD",1480234720597,9,"c","is_certainly possible",6,3,NA,22594,63
"106","A2KG59JUICJLP0:3WYP994K18ZYEGQ6KX3X4Y1M14J6YD",1480234725249,10,"f","is_certainly likely",NA,NA,5,4649,NA
"107","A2KG59JUICJLP0:3WYP994K18ZYEGQ6KX3X4Y1M14J6YD",1480234751584,11,"c","is_certainly unlikely",9,9,NA,26332,99
"108","A2KG59JUICJLP0:3WYP994K18ZYEGQ6KX3X4Y1M14J6YD",1480234755474,12,"f","is_probably unlikely",NA,NA,9,3887,NA
"109","A2KG59JUICJLP0:3WYP994K18ZYEGQ6KX3X4Y1M14J6YD",1480234768622,13,"c","is_probably possible",7,3,NA,13144,73
"110","A2KG59JUICJLP0:3WYP994K18ZYEGQ6KX3X4Y1M14J6YD",1480234773057,14,"f","is_certainly possible",NA,NA,5,4433,NA
"111","A2KG59JUICJLP0:3WYP994K18ZYEGQ6KX3X4Y1M14J6YD",1480234785497,15,"c","might_be possible",6,3,NA,12437,63
"112","A2KG59JUICJLP0:3WYP994K18ZYEGQ6KX3X4Y1M14J6YD",1480234788475,16,"f","is_probably possible",NA,NA,5,2974,NA
"113","A2KG59JUICJLP0:3WYP994K18ZYEGQ6KX3X4Y1M14J6YD",1480234801653,17,"c","is_probably likely",7,0,NA,13176,70
"114","A2KG59JUICJLP0:3WYP994K18ZYEGQ6KX3X4Y1M14J6YD",1480234805304,18,"f","is_probably likely",NA,NA,5,3648,NA
"115","A2KG59JUICJLP0:3WYP994K18ZYEGQ6KX3X4Y1M14J6YD",1480234817887,19,"c","is_certainly likely",8,7,NA,12580,87
"116","A2KG59JUICJLP0:3WYP994K18ZYEGQ6KX3X4Y1M14J6YD",1480234823786,20,"f","might_be possible",NA,NA,5,5896,NA
"117","A2KG59JUICJLP0:3WYP994K18ZYEGQ6KX3X4Y1M14J6YD",1480234837536,21,"c","is_probably unlikely",7,5,NA,13747,75
"118","A2KG59JUICJLP0:3WYP994K18ZYEGQ6KX3X4Y1M14J6YD",1480234840266,22,"f","is unlikely",NA,NA,5,2727,NA
"119","A2KG59JUICJLP0:3WYP994K18ZYEGQ6KX3X4Y1M14J6YD",1480234850491,23,"c","might_be unlikely",6,4,NA,10222,64
"120","A2KG59JUICJLP0:3WYP994K18ZYEGQ6KX3X4Y1M14J6YD",1480234855871,24,"f","might_be likely",NA,NA,5,5378,NA
"121","A2R8IV2PWFTY00:3C44YUNSI2X3QBDK3XFSXDI2EL3PDU",1480202117521,1,"c","is_probably likely",4,2,NA,68165,42
"122","A2R8IV2PWFTY00:3C44YUNSI2X3QBDK3XFSXDI2EL3PDU",1480202139912,2,"f","is_certainly unlikely",NA,NA,3,22390,NA
"123","A2R8IV2PWFTY00:3C44YUNSI2X3QBDK3XFSXDI2EL3PDU",1480202172225,3,"c","is_certainly possible",5,3,NA,32310,53
"124","A2R8IV2PWFTY00:3C44YUNSI2X3QBDK3XFSXDI2EL3PDU",1480202219128,4,"f","might_be likely",NA,NA,3,46902,NA
"125","A2R8IV2PWFTY00:3C44YUNSI2X3QBDK3XFSXDI2EL3PDU",1480202238032,5,"c","is_probably possible",5,2,NA,18902,52
"126","A2R8IV2PWFTY00:3C44YUNSI2X3QBDK3XFSXDI2EL3PDU",1480202253464,6,"f","is_probably possible",NA,NA,3,15430,NA
"127","A2R8IV2PWFTY00:3C44YUNSI2X3QBDK3XFSXDI2EL3PDU",1480202271080,7,"c","might_be likely",5,2,NA,17614,52
"128","A2R8IV2PWFTY00:3C44YUNSI2X3QBDK3XFSXDI2EL3PDU",1480202286800,8,"f","is unlikely",NA,NA,2,15718,NA
"129","A2R8IV2PWFTY00:3C44YUNSI2X3QBDK3XFSXDI2EL3PDU",1480202296368,9,"c","might_be possible",4,3,NA,9566,43
"130","A2R8IV2PWFTY00:3C44YUNSI2X3QBDK3XFSXDI2EL3PDU",1480202312592,10,"f","is likely",NA,NA,4,16223,NA
"131","A2R8IV2PWFTY00:3C44YUNSI2X3QBDK3XFSXDI2EL3PDU",1480202325784,11,"c","is likely",5,1,NA,13190,51
"132","A2R8IV2PWFTY00:3C44YUNSI2X3QBDK3XFSXDI2EL3PDU",1480202337112,12,"f","might_be unlikely",NA,NA,2,11325,NA
"133","A2R8IV2PWFTY00:3C44YUNSI2X3QBDK3XFSXDI2EL3PDU",1480202352567,13,"c","might_be unlikely",4,3,NA,15454,43
"134","A2R8IV2PWFTY00:3C44YUNSI2X3QBDK3XFSXDI2EL3PDU",1480202363848,14,"f","is_certainly possible",NA,NA,4,11278,NA
"135","A2R8IV2PWFTY00:3C44YUNSI2X3QBDK3XFSXDI2EL3PDU",1480202372535,15,"c","is unlikely",4,1,NA,8686,41
"136","A2R8IV2PWFTY00:3C44YUNSI2X3QBDK3XFSXDI2EL3PDU",1480202406144,16,"f","is_certainly likely",NA,NA,4,33606,NA
"137","A2R8IV2PWFTY00:3C44YUNSI2X3QBDK3XFSXDI2EL3PDU",1480202428695,17,"c","is_probably unlikely",4,3,NA,22550,43
"138","A2R8IV2PWFTY00:3C44YUNSI2X3QBDK3XFSXDI2EL3PDU",1480202448352,18,"f","is possible",NA,NA,2,19655,NA
"139","A2R8IV2PWFTY00:3C44YUNSI2X3QBDK3XFSXDI2EL3PDU",1480202464848,19,"c","is_certainly unlikely",4,4,NA,16493,44
"140","A2R8IV2PWFTY00:3C44YUNSI2X3QBDK3XFSXDI2EL3PDU",1480202476080,20,"f","is_probably unlikely",NA,NA,2,11230,NA
"141","A2R8IV2PWFTY00:3C44YUNSI2X3QBDK3XFSXDI2EL3PDU",1480202489008,21,"c","is possible",4,2,NA,12926,42
"142","A2R8IV2PWFTY00:3C44YUNSI2X3QBDK3XFSXDI2EL3PDU",1480202502416,22,"f","is_probably likely",NA,NA,3,13406,NA
"143","A2R8IV2PWFTY00:3C44YUNSI2X3QBDK3XFSXDI2EL3PDU",1480202516232,23,"c","is_certainly likely",4,0,NA,13815,40
"144","A2R8IV2PWFTY00:3C44YUNSI2X3QBDK3XFSXDI2EL3PDU",1480202527280,24,"f","might_be possible",NA,NA,4,11046,NA
"169","A3AO2N7BNFDGF3:39O5D9O87U0MEU2J53NA04XJOPZC35",1480195109111,1,"c","is_certainly possible",6,4,NA,11495,64
"170","A3AO2N7BNFDGF3:39O5D9O87U0MEU2J53NA04XJOPZC35",1480195126403,2,"f","is unlikely",NA,NA,3,17292,NA
"171","A3AO2N7BNFDGF3:39O5D9O87U0MEU2J53NA04XJOPZC35",1480195133692,3,"c","might_be likely",6,2,NA,7280,62
"172","A3AO2N7BNFDGF3:39O5D9O87U0MEU2J53NA04XJOPZC35",1480195138392,4,"f","might_be unlikely",NA,NA,5,4696,NA
"173","A3AO2N7BNFDGF3:39O5D9O87U0MEU2J53NA04XJOPZC35",1480195144864,5,"c","is_certainly unlikely",6,1,NA,6469,61
"174","A3AO2N7BNFDGF3:39O5D9O87U0MEU2J53NA04XJOPZC35",1480195154673,6,"f","is_certainly unlikely",NA,NA,3,9809,NA
"175","A3AO2N7BNFDGF3:39O5D9O87U0MEU2J53NA04XJOPZC35",1480195164580,7,"c","is unlikely",4,1,NA,9903,41
"176","A3AO2N7BNFDGF3:39O5D9O87U0MEU2J53NA04XJOPZC35",1480195211036,8,"f","might_be possible",NA,NA,6,46452,NA
"177","A3AO2N7BNFDGF3:39O5D9O87U0MEU2J53NA04XJOPZC35",1480195218019,9,"c","is possible",6,3,NA,6971,63
"178","A3AO2N7BNFDGF3:39O5D9O87U0MEU2J53NA04XJOPZC35",1480195222862,10,"f","is possible",NA,NA,6,4839,NA
"179","A3AO2N7BNFDGF3:39O5D9O87U0MEU2J53NA04XJOPZC35",1480195245020,11,"c","is_probably likely",6,4,NA,22154,64
"180","A3AO2N7BNFDGF3:39O5D9O87U0MEU2J53NA04XJOPZC35",1480195250233,12,"f","is likely",NA,NA,7,5205,NA
"181","A3AO2N7BNFDGF3:39O5D9O87U0MEU2J53NA04XJOPZC35",1480195261182,13,"c","is_probably possible",6,3,NA,10945,63
"182","A3AO2N7BNFDGF3:39O5D9O87U0MEU2J53NA04XJOPZC35",1480195269113,14,"f","is_certainly possible",NA,NA,5,7919,NA
"183","A3AO2N7BNFDGF3:39O5D9O87U0MEU2J53NA04XJOPZC35",1480195283465,15,"c","is_certainly likely",6,4,NA,14352,64
"184","A3AO2N7BNFDGF3:39O5D9O87U0MEU2J53NA04XJOPZC35",1480195289517,16,"f","is_probably likely",NA,NA,7,6048,NA
"185","A3AO2N7BNFDGF3:39O5D9O87U0MEU2J53NA04XJOPZC35",1480195294793,17,"c","is_probably unlikely",4,1,NA,5272,41
"186","A3AO2N7BNFDGF3:39O5D9O87U0MEU2J53NA04XJOPZC35",1480195300222,18,"f","is_probably unlikely",NA,NA,3,5425,NA
"187","A3AO2N7BNFDGF3:39O5D9O87U0MEU2J53NA04XJOPZC35",1480195321276,19,"c","is likely",7,4,NA,21046,74
"188","A3AO2N7BNFDGF3:39O5D9O87U0MEU2J53NA04XJOPZC35",1480195348225,20,"f","might_be likely",NA,NA,6,26945,NA
"189","A3AO2N7BNFDGF3:39O5D9O87U0MEU2J53NA04XJOPZC35",1480195354063,21,"c","might_be possible",6,3,NA,5826,63
"190","A3AO2N7BNFDGF3:39O5D9O87U0MEU2J53NA04XJOPZC35",1480195361962,22,"f","is_certainly likely",NA,NA,7,7895,NA
"191","A3AO2N7BNFDGF3:39O5D9O87U0MEU2J53NA04XJOPZC35",1480195414970,23,"c","might_be unlikely",6,2,NA,53004,62
"192","A3AO2N7BNFDGF3:39O5D9O87U0MEU2J53NA04XJOPZC35",1480195418925,24,"f","is_probably possible",NA,NA,7,3939,NA
"193","A3GZYWA9S6J0K9:3ERET4BTVNHQCU3NEP5IF0DDTQI9KW",1480269314632,1,"c","is unlikely",9,5,NA,16184,95
"194","A3GZYWA9S6J0K9:3ERET4BTVNHQCU3NEP5IF0DDTQI9KW",1480269326374,2,"f","might_be likely",NA,NA,5,11740,NA
"195","A3GZYWA9S6J0K9:3ERET4BTVNHQCU3NEP5IF0DDTQI9KW",1480269337224,3,"c","is possible",4,2,NA,10848,42
"196","A3GZYWA9S6J0K9:3ERET4BTVNHQCU3NEP5IF0DDTQI9KW",1480269350296,4,"f","is_certainly unlikely",NA,NA,0,13070,NA
"197","A3GZYWA9S6J0K9:3ERET4BTVNHQCU3NEP5IF0DDTQI9KW",1480269359736,5,"c","is_probably possible",2,1,NA,9438,21
"198","A3GZYWA9S6J0K9:3ERET4BTVNHQCU3NEP5IF0DDTQI9KW",1480269364982,6,"f","might_be possible",NA,NA,5,5242,NA
"199","A3GZYWA9S6J0K9:3ERET4BTVNHQCU3NEP5IF0DDTQI9KW",1480269378179,7,"c","might_be unlikely",4,1,NA,13195,41
"200","A3GZYWA9S6J0K9:3ERET4BTVNHQCU3NEP5IF0DDTQI9KW",1480269384238,8,"f","is_probably possible",NA,NA,7,6058,NA
"201","A3GZYWA9S6J0K9:3ERET4BTVNHQCU3NEP5IF0DDTQI9KW",1480269392754,9,"c","might_be possible",4,3,NA,8514,43
