"","expression","observation","ci.low","mean","ci.high"
"67","is_probably likely",5,8.706,26.706,9.294
"68","is_probably possible",5,5.056,9.056,5.944
"69","is_probably unlikely",5,4.01,6.01,4.99
"70","might_be likely",5,5.184,8.184,5.816
"71","might_be possible",5,5.005,9.005,5.995
"72","might_be unlikely",5,3.126,4.126,3.874
"73","is likely",6,7.972,18.972,8.028
"74","is possible",6,3.021,4.021,3.979
"75","is unlikely",6,0.94,0.94,2.06
"76","is_certainly likely",6,7.921,17.921,8.079
"77","is_certainly possible",6,5.052,9.052,5.948
"78","is_certainly unlikely",6,4.04,5.04,4.96
"79","is_probably likely",6,5.965,12.965,7.035
"80","is_probably possible",6,4.97,8.97,6.03
"81","is_probably unlikely",6,1.966,1.966,3.034
"82","might_be likely",6,3.006,4.006,3.994
"83","might_be possible",6,2.014,2.014,2.986
"84","might_be unlikely",6,5.033,7.033,5.967
"85","is likely",7,5.082,8.082,5.918
"86","is possible",7,1.94,1.94,3.06
"87","is unlikely",7,3.984,6.984,5.016
"88","is_certainly likely",7,7.01,15.01,6.99
"89","is_certainly possible",7,5.059,9.059,5.941
"90","is_certainly unlikely",7,3.022,4.022,3.978
"91","is_probably likely",7,1.001,1.001,1.999
"92","is_probably possible",7,2.977,2.977,4.023
"93","is_probably unlikely",7,1.982,1.982,3.018
"94","might_be likely",7,1.995,1.995,3.005
"95","might_be possible",7,0.998,0.998,2.002
"96","might_be unlikely",7,0.974,0.974,2.026
"97","is likely",8,2.998,2.998,4.002
"98","is possible",8,1.042,1.042,1.958
"99","is unlikely",8,0,0,0
"100","is_certainly likely",8,4.043,6.043,4.957
"101","is_certainly possible",8,0.978,0.978,2.022
"102","is_certainly unlikely",8,3.016,3.016,3.984
"103","is_probably likely",8,0.979,0.979,2.021
"104","is_probably possible",8,0,0,0
"105","is_probably unlikely",8,1.998,1.998,3.002
"106","might_be likely",8,1.958,1.958,3.042
"107","might_be possible",8,0,0,0
"108","might_be unlikely",8,2.089,2.089,2.911
"109","is likely",9,0.971,0.971,2.029
"110","is possible",9,0,0,0
"111","is unlikely",9,0,0,0
"112","is_certainly likely",9,2.977,3.977,4.023
"113","is_certainly possible",9,1.985,1.985,3.015
"114","is_certainly unlikely",9,0.982,0.982,2.018
"115","is_probably likely",9,0,0,0
"116","is_probably possible",9,0,0,0
"117","is_probably unlikely",9,0,0,0
"118","might_be likely",9,0,0,0
"119","might_be possible",9,0,0,0
"120","might_be unlikely",9,0,0,0
"121","is likely",10,0.964,0.964,2.036
"122","is possible",10,0,0,0
"123","is unlikely",10,0,0,0
"124","is_certainly likely",10,0,0,0
"125","is_certainly possible",10,0,0,0
"126","is_certainly unlikely",10,0,0,0
"127","is_probably likely",10,0.986,0.986,2.014
"128","is_probably possible",10,0,0,0
"129","is_probably unlikely",10,0,0,0
"130","might_be likely",10,0,0,0
"131","might_be possible",10,0,0,0
"132","might_be unlikely",10,0,0,0
